year,country,renewable_share_pct,dependency_rate_pct
2011,Hungary,10.96,50.27
2012,Hungary,12.65,50.15
2013,Hungary,13.85,50.12
2014,Hungary,12.51,59.85
2015,Hungary,12.89,53.87
2016,Hungary,12.54,55.82
2017,Hungary,11.99,62.65
2018,Hungary,11.25,58.12
2019,Hungary,11.43,69.71
2020,Hungary,11.87,56.62
2021,Hungary,12.52,54.12
2022,Hungary,13.38,64.21
2023,Hungary,14.22,62.09
2024,Hungary,15.83,48.94
2005,Ireland,2.38,89.65
2006,Ireland,2.73,90.75
2007,Ireland,2.81,87.55
2008,Ireland,3.26,89.99
2009,Ireland,3.88,87.8
2010,Ireland,3.79,87.46
2011,Ireland,5.32,90.31
2012,Ireland,5.3,83.68
2013,Ireland,5.81,91.51
2014,Ireland,6.51,86.01
2015,Ireland,7.13,88.65
2016,Ireland,6.71,68.95
2017,Ireland,7.9,66.02
2018,Ireland,8.89,67.58
2019,Ireland,9.8,68.67
2020,Ireland,11.75,71.13
2021,Ireland,10.43,77.0
2022,Ireland,11.42,79.09
2023,Ireland,12.05,77.76
2024,Ireland,12.23,79.53
2005,Italy,6.95,83.35
2006,Italy,7.46,85.87
2007,Italy,8.4,83.0
2008,Italy,10.02,82.8
2009,Italy,11.03,80.78
2010,Italy,10.79,82.57
2011,Italy,10.49,81.35
2012,Italy,12.64,79.11
2013,Italy,14.64,76.74
2014,Italy,15.58,75.81
2015,Italy,14.95,77.03
2016,Italy,15.06,77.65
2017,Italy,16.4,76.98
2018,Italy,16.69,76.34
2019,Italy,17.14,77.48
2020,Italy,18.85,73.45
2021,Italy,17.86,73.42
2022,Italy,17.05,79.49
2023,Italy,18.23,75.36
2024,Italy,19.65,73.88
2005,Latvia,38.23,63.84
2006,Latvia,37.08,66.71
2007,Latvia,35.43,62.48
2008,Latvia,36.36,58.82
2009,Latvia,43.68,60.41
2010,Latvia,40.25,45.54
2011,Latvia,45.11,59.86
2012,Latvia,48.79,56.39
2013,Latvia,45.41,55.88
2014,Latvia,50.62,40.59
2015,Latvia,50.28,51.18
2016,Latvia,51.78,47.15
2017,Latvia,53.62,44.06
2018,Latvia,58.92,44.32
2019,Latvia,56.97,43.92
2020,Latvia,58.9,45.48
2021,Latvia,56.37,38.33
2022,Latvia,65.08,38.21
2023,Latvia,73.46,32.72
2024,Latvia,69.88,29.26
2005,Lithuania,9.86,55.33
2006,Lithuania,10.61,60.35
2007,Lithuania,9.92,59.11
2008,Lithuania,10.84,56.02
2009,Lithuania,13.05,48.05
2010,Lithuania,16.41,79.04
2011,Lithuania,15.52,78.6
2012,Lithuania,15.89,77.53
2013,Lithuania,18.14,75.56
2014,Lithuania,19.21,74.94
2015,Lithuania,20.19,75.45
2016,Lithuania,19.97,74.78
2017,Lithuania,21.05,71.96
2018,Lithuania,20.63,73.9
2019,Lithuania,20.7,75.2
2020,Lithuania,21.81,74.91
2021,Lithuania,23.01,73.27
2022,Lithuania,25.14,72.43
2023,Lithuania,27.27,69.5
2024,Lithuania,29.88,66.01
2005,Luxembourg,1.49,97.38
2006,Luxembourg,1.64,98.23
2007,Luxembourg,1.83,96.67
2008,Luxembourg,1.91,97.45
2009,Luxembourg,1.9,97.51
2010,Luxembourg,1.89,97.07
2011,Luxembourg,1.78,97.29
2012,Luxembourg,2.04,97.51
2013,Luxembourg,2.28,97.1
2014,Luxembourg,2.85,96.63
2015,Luxembourg,2.79,95.96
2016,Luxembourg,3.03,96.28
2017,Luxembourg,3.38,95.56
2018,Luxembourg,3.83,95.16
2019,Luxembourg,4.33,95.01
2020,Luxembourg,6.61,92.34
2021,Luxembourg,6.44,92.37
2022,Luxembourg,7.22,91.48
2023,Luxembourg,7.34,91.45
2024,Luxembourg,8.78,91.03
2005,Malta,0.03,99.97
2006,Malta,0.04,99.96
2007,Malta,0.04,99.96
2008,Malta,0.05,99.95
2009,Malta,0.05,99.93
2010,Malta,0.18,99.04
2011,Malta,0.28,101.3
2012,Malta,0.41,100.97
2013,Malta,0.45,104.14
2014,Malta,0.63,97.66
2015,Malta,0.68,97.3
2016,Malta,0.75,101.08
2017,Malta,1.03,103.05
2018,Malta,1.1,97.53
2019,Malta,1.14,97.27
2020,Malta,1.41,97.56
2021,Malta,1.65,97.04
2022,Malta,1.64,98.96
2023,Malta,1.69,97.55
2024,Malta,1.86,98.39
2005,Netherlands,1.99,37.78
2006,Netherlands,2.17,38.56
2007,Netherlands,2.29,37.41
2008,Netherlands,2.62,33.55
2009,Netherlands,3.09,34.06
2010,Netherlands,3.13,28.28
2011,Netherlands,3.45,29.36
2012,Netherlands,4.23,30.63
2013,Netherlands,4.82,23.74
2014,Netherlands,5.27,30.95
2015,Netherlands,5.49,48.37
2016,Netherlands,5.41,45.87
2017,Netherlands,6.17,51.7
2018,Netherlands,6.4,59.52
2019,Netherlands,7.16,64.3
2020,Netherlands,8.59,68.02
2021,Netherlands,9.26,58.45
2022,Netherlands,10.99,80.24
2023,Netherlands,12.83,70.41
2024,Netherlands,13.2,70.56
2005,Poland,4.9,17.75
2006,Poland,4.87,20.15
2007,Poland,4.98,25.79
2008,Poland,5.48,30.86
2009,Poland,6.41,32.04
2010,Poland,6.77,31.57
2011,Poland,7.36,34.02
2012,Poland,8.72,31.63
2013,Poland,8.73,26.25
2014,Poland,8.61,29.41
2015,Poland,9.34,29.85
2016,Poland,9.1,30.76
2017,Poland,8.75,38.27
2018,Poland,10.95,43.51
2019,Poland,11.54,45.24
2020,Poland,12.12,42.77
2021,Poland,11.61,40.46
2022,Poland,12.67,46.11
2023,Poland,14.01,48.06
2024,Poland,14.82,45.67
2005,Portugal,12.4,88.56
2006,Portugal,15.78,83.97
2007,Portugal,16.88,81.52
2008,Portugal,16.62,83.62
2009,Portugal,18.66,81.43
2010,Portugal,22.71,75.22
2011,Portugal,22.12,77.79
2012,Portugal,19.87,79.46
2013,Portugal,24.34,73.35
2014,Portugal,27.57,70.23
2015,Portugal,23.87,76.29
2016,Portugal,26.49,72.24
2017,Portugal,22.41,77.97
2018,Portugal,25.58,75.66
2019,Portugal,25.74,73.87
2020,Portugal,30.14,65.28
2021,Portugal,30.58,66.92
2022,Portugal,28.32,71.27
2023,Portugal,31.72,66.87
2024,Portugal,34.52,64.52
2005,Romania,12.88,27.47
2006,Romania,12.05,29.16
2007,Romania,11.84,31.46
2008,Romania,13.44,27.65
2009,Romania,15.15,19.89
2010,Romania,16.3,21.39
2011,Romania,14.06,21.14
2012,Romania,14.98,22.46
2013,Romania,17.43,18.32
2014,Romania,19.23,16.66
2015,Romania,18.59,16.69
2016,Romania,19.15,21.9
2017,Romania,17.41,23.3
2018,Romania,17.58,24.29
2019,Romania,17.48,30.28
2020,Romania,17.97,28.19
2021,Romania,17.84,31.65
2022,Romania,18.09,32.42
2023,Romania,19.47,27.86
2024,Romania,18.25,30.36
2005,Slovakia,4.6,65.99
2006,Slovakia,4.66,64.34
2007,Slovakia,5.41,69.74
2008,Slovakia,5.66,65.84
2009,Slovakia,7.33,67.69
2010,Slovakia,11.51,61.94
2011,Slovakia,11.51,63.46
2012,Slovakia,12.62,58.95
2013,Slovakia,12.39,58.4
2014,Slovakia,11.25,60.7
2015,Slovakia,12.92,58.01
2016,Slovakia,13.3,58.21
2017,Slovakia,12.59,62.54
2018,Slovakia,11.99,61.9
2019,Slovakia,13.05,69.79
2020,Slovakia,13.24,56.33
2021,Slovakia,13.21,52.58
2022,Slovakia,13.12,69.6
2023,Slovakia,12.68,58.41
2024,Slovakia,13.22,53.5
2005,Slovenia,13.38,50.83
2006,Slovenia,12.54,50.9
2007,Slovenia,12.84,50.82
2008,Slovenia,13.35,53.59
2009,Slovenia,15.41,48.84
2010,Slovenia,15.59,49.28
2011,Slovenia,14.35,48.35
2012,Slovenia,15.11,51.84
2013,Slovenia,16.95,47.47
2014,Slovenia,18.32,45.19
2015,Slovenia,16.57,49.26
2016,Slovenia,16.93,48.95
2017,Slovenia,15.4,50.66
2018,Slovenia,15.43,51.09
2019,Slovenia,15.37,51.97
2020,Slovenia,17.04,45.67
2021,Slovenia,17.43,48.6
2022,Slovenia,15.21,53.91
2023,Slovenia,18.96,49.26
2024,Slovenia,18.9,46.38
2005,Spain,5.51,81.53
2006,Spain,5.99,81.3
2007,Spain,6.43,79.56
2008,Spain,6.85,81.6
2009,Spain,8.91,79.55
2010,Spain,10.56,77.0
2011,Spain,10.08,76.01
2012,Spain,10.63,72.8
2013,Spain,13.7,70.0
2014,Spain,14.52,72.56
2015,Spain,13.24,72.74
2016,Spain,13.5,71.49
2017,Spain,12.46,73.89
2018,Spain,13.31,73.61
2019,Spain,14.01,75.03
2020,Spain,16.62,67.89
2021,Spain,16.29,69.38
2022,Spain,15.83,74.2
2023,Spain,17.88,68.26
2024,Spain,18.56,68.87
2005,Sweden,27.09,38.07
2006,Sweden,26.8,38.23
2007,Sweden,28.53,36.8
2008,Sweden,29.37,38.42
2009,Sweden,32.73,38.19
2010,Sweden,31.55,37.99
2011,Sweden,32.93,36.48
2012,Sweden,36.88,30.17
2013,Sweden,34.49,32.8
2014,Sweden,34.97,32.35
2015,Sweden,40.14,30.07
2016,Sweden,36.82,33.31
2017,Sweden,36.75,26.67
2018,Sweden,35.97,29.07
2019,Sweden,38.49,30.06
2020,Sweden,45.39,31.98
2021,Sweden,45.27,21.22
2022,Sweden,46.9,26.96
2023,Sweden,46.86,26.39
2024,Sweden,46.96,26.5
